ticket_id,ticket,category,priority
39,I need support with this: My account is locked Please help me.,Account Issue,Medium
40,I need assistance because please help me recover my account This is urgent.,Account Issue,High
41,I need support with this: When will the refund be credited? Please resolve this.,Refund,Medium
42,I am contacting support because The item in my order is incorrect Please help me.,Order Issue,Low
43,Can you help? i forgot my account credentials Please resolve this.,Account Issue,Low
44,Could you please help? how long will my refund take? Please let me know what I need to do.,Refund,Medium
45,I am having trouble because I received only part of my order Please let me know what I need to do.,Order Issue,Low
46,"Please help me, I want to renew my subscription I need an update.",Subscription,Low
47,I am having trouble because I received the wrong product This is urgent.,Order Issue,Low
48,I need support with this: i need to update my order details Please let me know what I need to do.,Order Issue,Medium
49,I need assistance because My refund is still pending I need an update.,Refund,High
50,Could you please help? how can i upgrade my subscription? This is urgent.,Subscription,Medium
51,I need assistance because Can you tell me the delivery status? Please help me.,Delivery,Medium
52,I am contacting support because how can i change my password? Please resolve this.,Account Issue,Low
53,Could you please help? I want to modify my order,Order Issue,Medium
54,I am contacting support because My login is not working What should I do?,Account Issue,Low
55,I am contacting support because Can I downgrade my subscription? I need an update.,Subscription,Low
56,"Please help me, I want to cancel my subscription",Subscription,Low
57,I am contacting support because Why did my online payment fail? This is urgent.,Payment Issue,High
58,Can you help? The expected delivery date has passed This is urgent.,Delivery,Low
59,I need support with this: My account is locked What should I do?,Account Issue,Low
60,"Please help me, Please provide an update on my delivery This is urgent.",Delivery,High
61,"Please help me, i cannot access my account This is urgent.",Account Issue,High
62,Could you please help? I cannot reset my password Can you check this for me?,Account Issue,High
63,I am contacting support because How can I upgrade my subscription? Please resolve this.,Subscription,Low
64,I need support with this: Please process my refund This is urgent.,Refund,High
65,Could you please help? how long will my refund take? Please help me.,Refund,High
66,"Please help me, I forgot my password What should I do?",Account Issue,Low
67,"Please help me, the payment was rejected even though i have enough balance I need an update.",Payment Issue,Medium
68,I need assistance because The app stopped responding What should I do?,Technical Issue,Medium
69,I am having trouble because I need to update my order details Please help me.,Order Issue,Medium
70,"Please help me, I am seeing an error message",Technical Issue,Medium
71,I need support with this: how long will my refund take? What should I do?,Refund,Medium
72,I need assistance because I need to update my order details Please let me know what I need to do.,Order Issue,Low
73,I need assistance because The app stopped responding This is urgent.,Technical Issue,Medium
74,I need assistance because my shipment has not arrived yet I need an update.,Delivery,Low
75,Can you help? i received the wrong product I need an update.,Order Issue,Medium
76,"Please help me, How do I change my subscription plan? I need an update.",Subscription,Low
77,I need support with this: my subscription payment failed This is urgent.,Subscription,Low
78,I am having trouble because The application is very slow I need an update.,Technical Issue,Medium
79,I need assistance because I cannot reset my password What should I do?,Account Issue,High
80,The website keeps crashing Please resolve this.,Technical Issue,High
81,I need support with this: how can i change my password? What should I do?,Account Issue,High
82,"Please help me, I want to cancel my order This is urgent.",Order Issue,Medium
83,I am having trouble because i was charged twice for the same order I need an update.,Payment Issue,High
84,I need support with this: When will the refund be credited? What should I do?,Refund,Medium
85,I need to request a refund Please let me know what I need to do.,Refund,High
86,I need assistance because The mobile app keeps freezing What should I do?,Technical Issue,High
87,The payment was rejected even though I have enough balance What should I do?,Payment Issue,High
88,Can you help? When will my order be delivered? Please help me.,Delivery,Low
89,Could you please help? my payment failed while placing the order Please let me know what I need to do.,Payment Issue,High
90,"Please help me, Why was I charged for the subscription?",Subscription,Low
91,I need assistance because I forgot my account credentials Please resolve this.,Account Issue,High
92,The refund amount is missing from my account Please help me.,Refund,Medium
93,I need support with this: my payment failed while placing the order Please let me know what I need to do.,Payment Issue,Medium
94,I am contacting support because The expected delivery date has passed This is urgent.,Delivery,High
95,Could you please help? i received the wrong product I need an update.,Order Issue,Medium
96,I need support with this: i need help with a failed payment I need an update.,Payment Issue,Medium
97,I am having trouble because i want to renew my subscription Please let me know what I need to do.,Subscription,Low
98,Can you help? I cannot reset my password Can you check this for me?,Account Issue,Medium
99,The app stopped responding What should I do?,Technical Issue,High
100,I need assistance because The application is very slow Please help me.,Technical Issue,Medium
101,Can you help? how can i upgrade my subscription? This is urgent.,Subscription,Medium
102,I need support with this: My package is delayed Can you check this for me?,Delivery,High
103,Could you please help? The product is damaged and I want a refund This is urgent.,Refund,Medium
104,I get an error when uploading a file Please resolve this.,Technical Issue,High
105,I am contacting support because Money was deducted but my order was not confirmed Can you check this for me?,Payment Issue,Medium
106,I need assistance because the website is not working I need an update.,Technical Issue,High
107,Can you help? i forgot my account credentials Can you check this for me?,Account Issue,High
108,"Please help me, I am unable to sign in Can you check this for me?",Account Issue,High
109,I need support with this: i was charged but the transaction failed What should I do?,Payment Issue,Medium
110,I need assistance because my refund is still pending I need an update.,Refund,High
111,I am contacting support because I placed the wrong order and need help Please resolve this.,Order Issue,Medium
112,I need assistance because how long will my refund take? Can you check this for me?,Refund,High
113,Could you please help? I need to request a refund This is urgent.,Refund,High
114,I need assistance because I cannot log into my account Please let me know what I need to do.,Account Issue,Low
115,I am having trouble because Can you tell me the delivery status? I need an update.,Delivery,High
116,The page is not loading Please let me know what I need to do.,Technical Issue,High
117,I need support with this: I want to modify my order I need an update.,Order Issue,Low
118,I am contacting support because the application is very slow What should I do?,Technical Issue,Medium
119,I need support with this: The expected delivery date has passed Can you check this for me?,Delivery,Low
120,I am contacting support because how long will my refund take? Can you check this for me?,Refund,Medium
121,I am contacting support because I forgot my account credentials I need an update.,Account Issue,Medium
122,Could you please help? the app stopped responding This is urgent.,Technical Issue,Medium
123,I am contacting support because i forgot my account credentials Please help me.,Account Issue,Low
124,I need assistance because i want to renew my subscription Please resolve this.,Subscription,Medium
125,Can you help? Why did my online payment fail? What should I do?,Payment Issue,Medium
126,Could you please help? I need to request a refund Please resolve this.,Refund,High
127,I am having trouble because Can I change my order before it ships? Please resolve this.,Order Issue,Medium
128,"Please help me, Please provide an update on my delivery What should I do?",Delivery,Medium
129,I need assistance because I want to track my package What should I do?,Delivery,Medium
130,Could you please help? Can I change my order before it ships? Please let me know what I need to do.,Order Issue,High
131,Can you help? the app stopped responding Please let me know what I need to do.,Technical Issue,High
132,Can you help? i am seeing an error message,Technical Issue,Medium
133,I am contacting support because I want to modify my order Please help me.,Order Issue,High
134,Could you please help? I forgot my password Can you check this for me?,Account Issue,High
135,I am contacting support because please help me recover my account Please resolve this.,Account Issue,High
136,Could you please help? The refund amount is missing from my account What should I do?,Refund,Medium
137,I am having trouble because my account is locked This is urgent.,Account Issue,High
138,Can you help? can i change my order before it ships? Please let me know what I need to do.,Order Issue,Low
139,I need support with this: I want to cancel my order,Order Issue,Medium
140,I need support with this: My card payment was declined Can you check this for me?,Payment Issue,Medium
141,"Please help me, My subscription was cancelled unexpectedly Please let me know what I need to do.",Subscription,Low
142,I am having trouble because money was deducted but my order was not confirmed,Payment Issue,High
143,I need support with this: my order was cancelled unexpectedly This is urgent.,Order Issue,High
144,"Please help me, i placed the wrong order and need help Can you check this for me?",Order Issue,High
145,"Please help me, my refund is still pending I need an update.",Refund,High
146,Can you help? I want to track my package This is urgent.,Delivery,Low
147,Could you please help? i want to track my package Can you check this for me?,Delivery,Low
148,I need support with this: My payment is still pending What should I do?,Payment Issue,High
149,Could you please help? My login is not working Please help me.,Account Issue,Medium
150,I am contacting support because I want to modify my order Please resolve this.,Order Issue,Medium
151,"Please help me, I want to renew my subscription What should I do?",Subscription,Medium
152,I need support with this: Please help me recover my account Can you check this for me?,Account Issue,Medium
153,Can I downgrade my subscription? This is urgent.,Subscription,Low
154,Could you please help? the application is very slow Can you check this for me?,Technical Issue,Medium
155,I am having trouble because The item in my order is incorrect Please let me know what I need to do.,Order Issue,High
156,I need assistance because I was charged but the transaction failed Can you check this for me?,Payment Issue,Medium
157,Could you please help? I forgot my password Please help me.,Account Issue,Medium
158,I need support with this: I want to renew my subscription Please help me.,Subscription,High
159,I am having trouble because when will my order be delivered? Please let me know what I need to do.,Delivery,Low
160,Can you help? the page is not loading,Technical Issue,High
161,The delivery is taking too long Please help me.,Delivery,Medium
162,Could you please help? I want to renew my subscription Can you check this for me?,Subscription,Medium
163,"Please help me, the payment page shows an error This is urgent.",Payment Issue,High
164,I need support with this: My refund is still pending Please resolve this.,Refund,Medium
165,Could you please help? where is my order? Can you check this for me?,Delivery,Low
166,I am contacting support because the delivery is taking too long,Delivery,Medium
167,"Please help me, i cannot access my account Please resolve this.",Account Issue,Low
168,I am having trouble because I forgot my password Please resolve this.,Account Issue,High
169,Can you help? Where is my order? Please let me know what I need to do.,Delivery,Medium
170,I need assistance because I want to modify my order Please let me know what I need to do.,Order Issue,High
171,I need support with this: i need help with my subscription,Subscription,High
172,I want to modify my order,Order Issue,Medium
173,The website is not working What should I do?,Technical Issue,High
174,Could you please help? The refund amount is missing from my account Please help me.,Refund,Medium
175,I am contacting support because I want to track my package Can you check this for me?,Delivery,High
176,My shipment has not arrived yet Please help me.,Delivery,Low
177,Please help me recover my account Can you check this for me?,Account Issue,Low
178,Can you help? i forgot my account credentials This is urgent.,Account Issue,Medium
179,I am having trouble because My package has not arrived,Delivery,Low
180,"Please help me, i want to cancel my order Please help me.",Order Issue,Medium
181,"Please help me, The application is crashing when I open it Please let me know what I need to do.",Technical Issue,Medium
182,I need assistance because my login is not working I need an update.,Account Issue,High
183,"Please help me, My shipment has not arrived yet Can you check this for me?",Delivery,Low
184,I need assistance because i received only part of my order Please let me know what I need to do.,Order Issue,Low
185,Can you help? The payment page shows an error I need an update.,Payment Issue,Medium
186,"Please help me, i want to modify my order What should I do?",Order Issue,High
187,I am contacting support because i get an error when uploading a file Please let me know what I need to do.,Technical Issue,High
188,I am having trouble because can you tell me the delivery status? Please resolve this.,Delivery,Medium
189,How can i change my password? Can you check this for me?,Account Issue,Low
190,I need support with this: the payment page shows an error Please let me know what I need to do.,Payment Issue,High
191,I need support with this: The product is damaged and I want a refund I need an update.,Refund,High
192,"Please help me, why was i charged for the subscription? This is urgent.",Subscription,Low
193,I am contacting support because Can I change my order before it ships? This is urgent.,Order Issue,High
194,I am contacting support because i want to track my package Can you check this for me?,Delivery,High
195,I need help with a failed payment What should I do?,Payment Issue,High
196,Can you help? i placed the wrong order and need help Can you check this for me?,Order Issue,High
197,Could you please help? the website keeps crashing Can you check this for me?,Technical Issue,High
198,I need assistance because my payment failed while placing the order Please let me know what I need to do.,Payment Issue,High
199,Could you please help? I want to modify my order What should I do?,Order Issue,Low
200,I am having trouble because i want to cancel my order What should I do?,Order Issue,Medium
201,I am contacting support because My package has not arrived Please let me know what I need to do.,Delivery,High
202,Could you please help? My login is not working What should I do?,Account Issue,Low
203,I am contacting support because I cannot reset my password This is urgent.,Account Issue,Medium
204,I am contacting support because My refund is still pending Please help me.,Refund,High
205,I need assistance because i have not received my refund yet What should I do?,Refund,High
206,I need support with this: The expected delivery date has passed,Delivery,Medium
207,I need support with this: money was deducted but my order was not confirmed Can you check this for me?,Payment Issue,High
208,"Please help me, I cannot complete the checkout because of an error Please resolve this.",Technical Issue,High
209,Can you help? The application is very slow,Technical Issue,High
210,Could you please help? how long will my refund take? I need an update.,Refund,Medium
211,Could you please help? I want to track my package Please help me.,Delivery,High
212,I am contacting support because Why was I charged for the subscription? What should I do?,Subscription,Low
213,I am having trouble because I cannot log into my account Please let me know what I need to do.,Account Issue,Low
214,I need support with this: i cannot log into my account I need an update.,Account Issue,High
215,Could you please help? i am seeing an error message,Technical Issue,High
216,"Please help me, how do i change my subscription plan? This is urgent.",Subscription,Low
217,I need support with this: Can I change my order before it ships? Please resolve this.,Order Issue,High
218,I am having trouble because How do I change my subscription plan? What should I do?,Subscription,Medium
219,"Please help me, the application is crashing when i open it Can you check this for me?",Technical Issue,Medium
220,I am having trouble because Can you tell me the delivery status? I need an update.,Delivery,Medium
221,"Please help me, My payment failed while placing the order",Payment Issue,High
222,I need assistance because i am seeing an error message What should I do?,Technical Issue,Medium
223,I need support with this: i want to renew my subscription Can you check this for me?,Subscription,High
224,I am having trouble because can i change my order before it ships? I need an update.,Order Issue,Low
225,I am contacting support because I cannot log into my account I need an update.,Account Issue,Medium
226,Can you help? My refund is still pending Please help me.,Refund,High
227,Could you please help? How do I change my subscription plan? Please help me.,Subscription,High
228,I need assistance because I need to request a refund What should I do?,Refund,Medium
229,Could you please help? My account is locked This is urgent.,Account Issue,Medium
230,I need assistance because I received the wrong product I need an update.,Order Issue,High
231,Can you help? I received only part of my order Can you check this for me?,Order Issue,Low
232,I am having trouble because The app stopped responding Can you check this for me?,Technical Issue,Medium
233,I am contacting support because I cannot access my account Please let me know what I need to do.,Account Issue,High
234,I need assistance because I need help with a failed payment Can you check this for me?,Payment Issue,Medium
235,I need support with this: I want to modify my order What should I do?,Order Issue,Low
236,Can you help? i want a refund for my order This is urgent.,Refund,High
237,I need support with this: My account is locked Please let me know what I need to do.,Account Issue,Low
238,Can you help? When will the refund be credited? Can you check this for me?,Refund,Medium
239,I am contacting support because I want to modify my order,Order Issue,Low
240,I need support with this: I want to cancel my subscription What should I do?,Subscription,Low
241,I need assistance because My refund is still pending Can you check this for me?,Refund,Medium
242,Could you please help? The website keeps crashing Please help me.,Technical Issue,Medium
243,I get an error when uploading a file Please resolve this.,Technical Issue,High
244,I am having trouble because I received the wrong product What should I do?,Order Issue,Medium
245,I am having trouble because I was charged twice for the same order Please let me know what I need to do.,Payment Issue,Medium
246,I need support with this: Can you tell me the delivery status? Please resolve this.,Delivery,Medium
247,I need assistance because the application is crashing when i open it,Technical Issue,High
248,I am contacting support because my subscription was cancelled unexpectedly Can you check this for me?,Subscription,High
249,Could you please help? My card payment was declined What should I do?,Payment Issue,High
250,When will my order be delivered?,Delivery,Low
251,Can you help? Can I change my order before it ships? Can you check this for me?,Order Issue,Medium
252,"Please help me, I need to update my order details Can you check this for me?",Order Issue,Medium
253,Can I change my order before it ships? Please let me know what I need to do.,Order Issue,Low
254,I am contacting support because i received only part of my order Please resolve this.,Order Issue,High
255,I am contacting support because My login is not working Please resolve this.,Account Issue,Medium
256,I am contacting support because I am seeing an error message Can you check this for me?,Technical Issue,High
257,I am contacting support because How long will my refund take? Please let me know what I need to do.,Refund,High
258,Could you please help? i get an error when uploading a file Please help me.,Technical Issue,Medium
259,I am contacting support because I want a refund for my order What should I do?,Refund,Medium
260,Could you please help? The product is damaged and I want a refund,Refund,High
261,I need assistance because my card payment was declined This is urgent.,Payment Issue,Medium
262,The application is very slow Please let me know what I need to do.,Technical Issue,High
263,Could you please help? The application is very slow,Technical Issue,Medium
264,Can you help? I cannot reset my password This is urgent.,Account Issue,Low
265,Can you help? My refund is still pending Please help me.,Refund,High
266,I need assistance because I want to modify my order This is urgent.,Order Issue,High
267,"Please help me, I cannot complete the checkout because of an error",Technical Issue,High
268,"Please help me, How do I change my subscription plan?",Subscription,High
269,Could you please help? please provide an update on my delivery This is urgent.,Delivery,Low
270,I am contacting support because i need to request a refund What should I do?,Refund,High
271,My order was cancelled unexpectedly What should I do?,Order Issue,Low
272,I am having trouble because How long will my refund take?,Refund,Medium
273,"Please help me, How long will my refund take? What should I do?",Refund,High
274,I am contacting support because can i change my order before it ships? I need an update.,Order Issue,Low
275,Could you please help? My subscription was cancelled unexpectedly I need an update.,Subscription,Medium
276,Can I downgrade my subscription? I need an update.,Subscription,Low
277,I am having trouble because i was charged for my subscription Please let me know what I need to do.,Subscription,Low
278,Could you please help? The application is very slow What should I do?,Technical Issue,Medium
279,Could you please help? I have not received my refund yet What should I do?,Refund,High
280,"Please help me, The application is crashing when I open it Please help me.",Technical Issue,Medium
281,"Please help me, I received only part of my order I need an update.",Order Issue,Medium
282,I am having trouble because The website keeps crashing Please let me know what I need to do.,Technical Issue,Medium
283,I need assistance because my login is not working Please help me.,Account Issue,High
284,I cannot complete the checkout because of an error,Technical Issue,Medium
285,"Please help me, how can i upgrade my subscription? Please help me.",Subscription,Low
286,Could you please help? The website keeps crashing,Technical Issue,High
287,"Please help me, Please help me recover my account Please help me.",Account Issue,Medium
288,I need support with this: my package has not arrived Please resolve this.,Delivery,High
289,"Please help me, i get an error when uploading a file This is urgent.",Technical Issue,Medium
290,"Please help me, How can I upgrade my subscription? Please resolve this.",Subscription,High
291,I am having trouble because i forgot my account credentials I need an update.,Account Issue,Low
292,The page is not loading,Technical Issue,High
293,Can you help? Why did my online payment fail? I need an update.,Payment Issue,Medium
294,Could you please help? please help me recover my account Please help me.,Account Issue,High
295,I forgot my password What should I do?,Account Issue,High
296,I need support with this: the delivery is taking too long I need an update.,Delivery,Medium
297,I am having trouble because i was charged but the transaction failed This is urgent.,Payment Issue,High
298,"Please help me, I am unable to sign in This is urgent.",Account Issue,Medium
299,Can you help? I cannot log into my account,Account Issue,Medium
300,Could you please help? Can I change my order before it ships? Can you check this for me?,Order Issue,Medium
301,"Please help me, i get an error when uploading a file",Technical Issue,Medium
302,"Please help me, the mobile app keeps freezing What should I do?",Technical Issue,High
303,"Please help me, How do I change my subscription plan? Please resolve this.",Subscription,Medium
304,I am contacting support because The page is not loading I need an update.,Technical Issue,High
305,I need support with this: I cannot reset my password I need an update.,Account Issue,Medium
306,Could you please help? I need to update my order details I need an update.,Order Issue,High
307,I get an error when uploading a file I need an update.,Technical Issue,Medium
308,I need assistance because why was i charged for the subscription? I need an update.,Subscription,High
309,The application is very slow Please let me know what I need to do.,Technical Issue,Medium
310,Can you help? I want to renew my subscription I need an update.,Subscription,Low
311,Can you help? Please provide an update on my delivery What should I do?,Delivery,Medium
312,"Please help me, my login is not working",Account Issue,Medium
313,I am contacting support because i returned the product but have not received my money I need an update.,Refund,High
314,I am having trouble because My payment is still pending This is urgent.,Payment Issue,High
315,I need support with this: The page is not loading This is urgent.,Technical Issue,High
316,Could you please help? How do I change my subscription plan? Please help me.,Subscription,Medium
317,I need support with this: Why did my online payment fail? Please help me.,Payment Issue,High
318,I need assistance because Can I downgrade my subscription? What should I do?,Subscription,Medium
319,I need assistance because how can i change my password? I need an update.,Account Issue,Medium
320,I am contacting support because The application is crashing when I open it Please let me know what I need to do.,Technical Issue,High
321,"Please help me, Money was deducted but my order was not confirmed I need an update.",Payment Issue,High
322,I get an error when uploading a file Please resolve this.,Technical Issue,High
323,I need assistance because Please provide an update on my delivery This is urgent.,Delivery,High
324,The page is not loading Please resolve this.,Technical Issue,High
325,I need assistance because I received only part of my order,Order Issue,High
326,I need support with this: I get an error when uploading a file This is urgent.,Technical Issue,High
327,I am contacting support because The website keeps crashing Please resolve this.,Technical Issue,Medium
328,Could you please help? I forgot my account credentials Can you check this for me?,Account Issue,Medium
329,I am having trouble because i need to request a refund,Refund,Medium
330,Could you please help? The app stopped responding I need an update.,Technical Issue,High
331,I need support with this: i want to track my package Please help me.,Delivery,Low
332,Can you help? can you tell me the delivery status? Can you check this for me?,Delivery,Medium
333,I need assistance because the app stopped responding What should I do?,Technical Issue,Medium
334,The mobile app keeps freezing Please resolve this.,Technical Issue,High
335,Can you help? I need to request a refund Please help me.,Refund,High
336,I am contacting support because Can I downgrade my subscription? What should I do?,Subscription,Low
337,My order was cancelled unexpectedly Please let me know what I need to do.,Order Issue,High
338,I need support with this: i want to renew my subscription Please let me know what I need to do.,Subscription,Medium
339,I am having trouble because Please help me recover my account,Account Issue,Low
340,I am having trouble because I want to track my package,Delivery,High
341,I need assistance because The product is damaged and I want a refund I need an update.,Refund,High
342,I am having trouble because how do i change my subscription plan? Please let me know what I need to do.,Subscription,Medium
343,Can you help? i was charged for my subscription Please resolve this.,Subscription,High
344,Can you help? i returned the product but have not received my money Please resolve this.,Refund,High
345,The delivery is taking too long I need an update.,Delivery,Medium
346,Could you please help? The expected delivery date has passed Please help me.,Delivery,High
347,I am contacting support because How can I upgrade my subscription? Please help me.,Subscription,Medium
348,I need assistance because the page is not loading Please let me know what I need to do.,Technical Issue,Medium
349,Can you help? my account is locked Can you check this for me?,Account Issue,Medium
350,I need support with this: My account is locked Please resolve this.,Account Issue,Low
351,"Please help me, I cannot complete the checkout because of an error Please let me know what I need to do.",Technical Issue,Medium
352,Can you help? I cannot log into my account Please resolve this.,Account Issue,High
353,Can you help? i need to request a refund What should I do?,Refund,Medium
354,"Please help me, My package is delayed What should I do?",Delivery,Low
355,I received the wrong product Can you check this for me?,Order Issue,High
356,Could you please help? I want to modify my order Can you check this for me?,Order Issue,High
357,I am contacting support because I cannot access my account,Account Issue,Medium
358,Could you please help? I need help with my subscription,Subscription,Low
359,Can you help? i was charged but the transaction failed Please let me know what I need to do.,Payment Issue,High
360,I am having trouble because my subscription payment failed Please help me.,Subscription,Medium
361,My account is locked Please let me know what I need to do.,Account Issue,Low
362,My login is not working This is urgent.,Account Issue,Medium
363,Could you please help? how can i upgrade my subscription?,Subscription,Low
364,I am having trouble because i cannot reset my password Please let me know what I need to do.,Account Issue,High
365,The expected delivery date has passed Can you check this for me?,Delivery,Low
366,I need support with this: The mobile app keeps freezing Please help me.,Technical Issue,High
367,I am seeing an error message Please help me.,Technical Issue,High
368,"Please help me, The product is damaged and I want a refund",Refund,Medium
369,I am contacting support because can i downgrade my subscription? Can you check this for me?,Subscription,Low
370,I need support with this: I am unable to sign in Please resolve this.,Account Issue,Low
371,I am contacting support because Why did my online payment fail? Please resolve this.,Payment Issue,Medium
372,I returned the product but have not received my money Can you check this for me?,Refund,Medium
373,I am contacting support because When will the refund be credited? Please let me know what I need to do.,Refund,Medium
374,I need support with this: My payment is still pending,Payment Issue,High
375,Where is my order? What should I do?,Delivery,Low
376,I need assistance because I need to request a refund Please resolve this.,Refund,Medium
377,I need assistance because how do i change my subscription plan? This is urgent.,Subscription,High
378,I need support with this: I need help with my subscription I need an update.,Subscription,Low
379,I am contacting support because I need help with a failed payment Please help me.,Payment Issue,Medium
380,"Please help me, I received only part of my order I need an update.",Order Issue,High
381,I need assistance because i forgot my password Please help me.,Account Issue,Low
382,I need assistance because My order was cancelled unexpectedly Please let me know what I need to do.,Order Issue,Low
383,I am contacting support because I need to request a refund Please help me.,Refund,High
384,I need assistance because The app stopped responding I need an update.,Technical Issue,Medium
385,My payment is still pending I need an update.,Payment Issue,High
386,Could you please help? the product is damaged and i want a refund This is urgent.,Refund,High
387,I am having trouble because Why did my online payment fail? Please resolve this.,Payment Issue,High
388,I am contacting support because I want to cancel my order Please help me.,Order Issue,Low
389,Can you help? the item in my order is incorrect Can you check this for me?,Order Issue,Low
390,Can you help? I need help with my subscription What should I do?,Subscription,Low
391,I was charged for my subscription Please let me know what I need to do.,Subscription,Low
392,I am contacting support because The product is damaged and I want a refund Please help me.,Refund,Medium
393,Can you help? i want to renew my subscription What should I do?,Subscription,Medium
394,"Please help me, the application is very slow I need an update.",Technical Issue,High
395,I need support with this: My refund is still pending Please let me know what I need to do.,Refund,High
396,I am having trouble because Money was deducted but my order was not confirmed Please help me.,Payment Issue,High
397,Could you please help? my refund is still pending What should I do?,Refund,High
398,I am contacting support because I need to update my order details Please help me.,Order Issue,Medium
399,The item in my order is incorrect Can you check this for me?,Order Issue,Medium
400,I am having trouble because my package has not arrived,Delivery,Medium
401,I need support with this: I cannot log into my account Can you check this for me?,Account Issue,High
402,I am having trouble because Can I change my order before it ships?,Order Issue,Medium
403,Can you help? money was deducted but my order was not confirmed,Payment Issue,High
404,I need assistance because The delivery is taking too long Please let me know what I need to do.,Delivery,High
405,"Please help me, I need help with a failed payment This is urgent.",Payment Issue,Medium
406,Could you please help? the app stopped responding,Technical Issue,Medium
407,I was charged but the transaction failed Please let me know what I need to do.,Payment Issue,Medium
408,"Please help me, the item in my order is incorrect I need an update.",Order Issue,High
409,"Please help me, The app stopped responding Please let me know what I need to do.",Technical Issue,Medium
410,When will the refund be credited? What should I do?,Refund,Medium
411,Could you please help? The item in my order is incorrect Please let me know what I need to do.,Order Issue,Low
412,I need support with this: My package is delayed Please let me know what I need to do.,Delivery,High
413,I need assistance because i get an error when uploading a file Please resolve this.,Technical Issue,High
414,I need support with this: how do i change my subscription plan? Please help me.,Subscription,Medium
415,I need assistance because my refund is still pending Can you check this for me?,Refund,Medium
416,I need assistance because i was charged twice for the same order What should I do?,Payment Issue,High
417,I need support with this: my account is locked I need an update.,Account Issue,Low
418,I am having trouble because The mobile app keeps freezing This is urgent.,Technical Issue,High
419,I need assistance because The item in my order is incorrect Please help me.,Order Issue,Low
420,I am contacting support because the mobile app keeps freezing What should I do?,Technical Issue,Medium
421,I am contacting support because I want to track my package Please resolve this.,Delivery,High
422,I need assistance because please help me recover my account This is urgent.,Account Issue,Medium
423,I am contacting support because The website is not working,Technical Issue,Medium
424,I am contacting support because The website is not working Please let me know what I need to do.,Technical Issue,High
425,Could you please help? I am unable to sign in Please help me.,Account Issue,Low
426,The item in my order is incorrect Please let me know what I need to do.,Order Issue,Medium
427,I am seeing an error message,Technical Issue,High
428,"Please help me, Please process my refund Can you check this for me?",Refund,Medium
429,I am having trouble because can i change my order before it ships? Please resolve this.,Order Issue,High
430,"Please help me, why was i charged for the subscription? Please let me know what I need to do.",Subscription,Low
431,Can you help? I have not received my refund yet Can you check this for me?,Refund,Medium
432,Can you help? how do i change my subscription plan? Please let me know what I need to do.,Subscription,Medium
433,I am contacting support because i want to cancel my subscription What should I do?,Subscription,High
434,Could you please help? how can i change my password? Please let me know what I need to do.,Account Issue,High
435,I need assistance because please provide an update on my delivery,Delivery,Low
